2022-11-08 08:38:19.118 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2022-11-08 08:38:19.118 [info] Added views:workbench.panel.output in workbench.panel.output
2022-11-08 08:38:19.118 [info] Added views:terminal in terminal
2022-11-08 08:38:19.118 [info] Added views:outline in workbench.view.explorer
2022-11-08 08:38:19.118 [info] Added views:workbench.scm in workbench.view.scm
2022-11-08 08:38:19.118 [info] Added views:workbench.view.search in workbench.view.search
2022-11-08 08:38:19.118 [info] Added views:timeline in workbench.view.explorer
2022-11-08 08:38:19.118 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2022-11-08 08:38:19.118 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-08 08:38:20.879 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2022-11-08 08:38:20.885 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-08 08:38:20.887 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-08 08:38:24.735 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2022-11-08 08:38:24.738 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2022-11-08 08:38:25.136 [info] Added views:workbench.views.extensions.popular in workbench.view.extensions
2022-11-08 08:38:28.533 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2022-11-08 08:38:28.598 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2022-11-08 08:38:46.579 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2022-11-08 08:38:46.597 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2022-11-08 08:38:48.283 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2022-11-08 08:38:48.322 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2022-11-08 08:38:58.312 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2022-11-08 08:38:58.332 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2022-11-08 08:39:00.710 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2022-11-08 08:39:00.738 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2022-11-08 08:39:10.021 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2022-11-08 08:39:10.136 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2022-11-08 08:39:11.210 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2022-11-08 08:39:11.235 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2022-11-08 08:39:40.758 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2022-11-08 08:39:40.777 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2022-11-08 08:39:42.344 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2022-11-08 08:39:42.367 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2022-11-08 08:40:15.789 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2022-11-08 08:40:15.818 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2022-11-08 08:40:17.435 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2022-11-08 08:40:17.463 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2022-11-08 08:40:26.035 [info] Added views:jupyterViewVariables in workbench.view.extension.jupyter-variables
2022-11-08 08:40:28.111 [info] Added views:workbench.view.testing in workbench.view.extension.test
2022-11-08 08:40:53.234 [info] Removed views:workbench.view.testing from workbench.view.extension.test
